,sample_size,bootstrap,ztest,ttest
0,16,0.142,0.177,0.189
1,32,0.157,0.192,0.195
2,64,0.158,0.196,0.198
3,128,0.141,0.183,0.184
4,256,0.142,0.176,0.176
5,512,0.153,0.183,0.184
6,1024,0.139,0.173,0.174
7,2048,0.172,0.21,0.21
8,4096,0.172,0.205,0.205
9,8192,0.184,0.212,0.212
10,16384,0.241,0.277,0.277
