,sample_size,bootstrap,ztest,ttest
0,16,0.77,0.8,0.84
1,32,0.87,0.88,0.9
2,64,0.93,0.97,0.98
3,128,0.92,0.95,0.95
4,256,0.97,0.97,0.97
5,512,0.93,0.95,0.95
6,1024,0.9,0.93,0.93
7,2048,0.9,0.93,0.93
8,4096,0.92,0.93,0.93
9,8192,0.96,0.96,0.96
10,16384,0.91,0.91,0.91
